unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1592964000,24/6/2020 2:00,ETH/USD,243.58,246.01,243.36,245.61,210697.4,859.98
1592960400,24/6/2020 1:00,ETH/USD,243.44,243.8,242.95,243.58,40300.05,165.77
1592956800,24/6/2020 0:00,ETH/USD,243.23,243.87,242.89,243.44,102252.34,420.1
1592953200,23/6/2020 23:00,ETH/USD,242.66,243.23,242.33,243.23,93855.67,386.53
1592949600,23/6/2020 22:00,ETH/USD,244.27,244.27,242.19,242.66,285336.46,1171.63
1592946000,23/6/2020 21:00,ETH/USD,243.38,244.27,242.4,244.27,97874.2,402.35
1592942400,23/6/2020 20:00,ETH/USD,243.9,244.46,243.34,243.38,75998.93,311.47
1592938800,23/6/2020 19:00,ETH/USD,243.89,244.98,243.78,243.9,187477.86,767.25
1592935200,23/6/2020 18:00,ETH/USD,244.02,244.28,243.28,243.89,311110.87,1275.83
1592931600,23/6/2020 17:00,ETH/USD,243.64,244.08,242.76,244.02,204160.94,838.8
1592928000,23/6/2020 16:00,ETH/USD,244.47,244.87,243.27,243.64,316393.89,1297.52
1592924400,23/6/2020 15:00,ETH/USD,242.98,244.49,242.62,244.47,403605.55,1655.95
1592920800,23/6/2020 14:00,ETH/USD,242.59,243.85,242.1,242.98,675000.97,2776.22
1592917200,23/6/2020 13:00,ETH/USD,242.82,242.82,241.36,242.59,354486.5,1463.7
1592913600,23/6/2020 12:00,ETH/USD,243.24,243.97,242.72,242.82,289903.69,1192.13
1592910000,23/6/2020 11:00,ETH/USD,242.14,243.83,241.97,243.24,313400.52,1289.88
1592906400,23/6/2020 10:00,ETH/USD,242.77,242.78,241.89,242.14,180204.4,743.26
1592902800,23/6/2020 9:00,ETH/USD,242.31,243.14,241.71,242.77,243625.59,1005.72
1592899200,23/6/2020 8:00,ETH/USD,244.1,244.1,242.1,242.31,738211.3,3042.16
1592895600,23/6/2020 7:00,ETH/USD,242.5,244.57,242.5,244.1,293286.45,1204.73
1592892000,23/6/2020 6:00,ETH/USD,241.66,242.5,241.09,242.5,217819.5,900.68
1592888400,23/6/2020 5:00,ETH/USD,242.01,242.36,241.31,241.66,364924.82,1508.6
1592884800,23/6/2020 4:00,ETH/USD,242.68,242.7,242.01,242.01,57640.74,237.88
1592881200,23/6/2020 3:00,ETH/USD,242.11,242.68,241.58,242.68,123024.56,508.55
1592877600,23/6/2020 2:00,ETH/USD,241.93,242.5,241.46,242.11,170806.85,705.49
1592874000,23/6/2020 1:00,ETH/USD,242.92,243.26,240.82,241.93,938292.99,3876.49
1592870400,23/6/2020 0:00,ETH/USD,243.33,244.58,242.75,242.92,168283.45,691.01
1592866800,22/6/2020 23:00,ETH/USD,243.61,243.72,242.7,243.33,128906.45,530.22
1592863200,22/6/2020 22:00,ETH/USD,243.03,243.61,241.65,243.61,738040.48,3042.48
1592859600,22/6/2020 21:00,ETH/USD,244.85,247.04,242.76,243.03,966883.71,3947.43
1592856000,22/6/2020 20:00,ETH/USD,242.42,245.45,242.42,244.85,258345.7,1057.42
1592852400,22/6/2020 19:00,ETH/USD,243.7,244.39,242.33,242.42,558556.48,2298.16
1592848800,22/6/2020 18:00,ETH/USD,244.64,245.06,243.7,243.7,190992.51,781.8
1592845200,22/6/2020 17:00,ETH/USD,244.16,245.06,243.22,244.64,989342.98,4047.71
1592841600,22/6/2020 16:00,ETH/USD,241.65,245.26,240.86,244.16,1746492.51,7162.61
1592838000,22/6/2020 15:00,ETH/USD,237.97,241.8,237.97,241.65,1079578.98,4502.98
1592834400,22/6/2020 14:00,ETH/USD,238.46,238.92,237.74,237.97,172583.81,724.24
1592830800,22/6/2020 13:00,ETH/USD,238.6,239.35,237.44,238.46,860682.42,3605.09
1592827200,22/6/2020 12:00,ETH/USD,236.46,240,236.24,238.6,1368288.62,5739.5
1592823600,22/6/2020 11:00,ETH/USD,235.47,236.85,234.82,236.46,554743.74,2351.63
1592820000,22/6/2020 10:00,ETH/USD,234.9,235.47,234.81,235.47,200152.95,851.14
1592816400,22/6/2020 9:00,ETH/USD,235.57,235.83,234.68,234.9,1267560.52,5393.03
1592812800,22/6/2020 8:00,ETH/USD,234.84,235.62,234.66,235.57,340839.91,1449.17
1592809200,22/6/2020 7:00,ETH/USD,233.98,235.34,233.82,234.84,510570.11,2175.15
1592805600,22/6/2020 6:00,ETH/USD,234.13,234.6,233.56,233.98,116212.97,496.68
1592802000,22/6/2020 5:00,ETH/USD,234.68,235.81,234.02,234.13,413516.41,1759.75
1592798400,22/6/2020 4:00,ETH/USD,233.98,235.34,233.98,234.68,514180.65,2189.64
1592794800,22/6/2020 3:00,ETH/USD,233.55,234.37,233.48,233.98,293678.3,1255.41
1592791200,22/6/2020 2:00,ETH/USD,233.33,233.84,232.49,233.55,229491.44,985.12
1592787600,22/6/2020 1:00,ETH/USD,228.5,233.33,228.26,233.33,1133716.91,4890.99
1592784000,22/6/2020 0:00,ETH/USD,227.73,228.72,227.31,228.5,102742.82,450.02
1592780400,21/6/2020 23:00,ETH/USD,228.06,228.06,227.15,227.73,74920.48,329.17
1592776800,21/6/2020 22:00,ETH/USD,229.56,229.56,226.84,228.06,368580.46,1617.12
1592773200,21/6/2020 21:00,ETH/USD,229.15,229.79,228.89,229.56,119067.87,519.38
1592769600,21/6/2020 20:00,ETH/USD,229.83,229.83,228.6,229.15,118170.42,515.79
1592766000,21/6/2020 19:00,ETH/USD,229.07,230.18,228.8,229.83,183908.91,801.35
1592762400,21/6/2020 18:00,ETH/USD,229.9,230,229.01,229.07,154474.58,673.51
1592758800,21/6/2020 17:00,ETH/USD,230.12,230.12,229.52,229.9,38887.02,169.21
1592755200,21/6/2020 16:00,ETH/USD,230.32,230.73,229.89,230.12,102457.92,444.97
1592751600,21/6/2020 15:00,ETH/USD,229.26,230.71,228.87,230.32,175601.95,763.93
1592748000,21/6/2020 14:00,ETH/USD,229.41,229.58,228.88,229.26,126682.37,552.55
1592744400,21/6/2020 13:00,ETH/USD,229.37,229.58,228.66,229.41,114090.04,497.86
1592740800,21/6/2020 12:00,ETH/USD,229.86,229.86,229.37,229.37,65292.44,284.28
1592737200,21/6/2020 11:00,ETH/USD,229.65,230.09,229.34,229.86,37946.66,165.21
1592733600,21/6/2020 10:00,ETH/USD,230.54,230.64,229.34,229.65,149844.86,651.55
1592730000,21/6/2020 9:00,ETH/USD,230.06,230.82,230.06,230.54,90036.4,390.79
1592726400,21/6/2020 8:00,ETH/USD,230.18,230.48,229.97,230.06,28372.04,123.24
1592722800,21/6/2020 7:00,ETH/USD,230.21,230.51,230.14,230.18,44614.1,193.75
1592719200,21/6/2020 6:00,ETH/USD,230.7,231.18,230.05,230.21,73887.94,320.38
1592715600,21/6/2020 5:00,ETH/USD,229.23,231.04,229.23,230.7,173176.62,751.62
1592712000,21/6/2020 4:00,ETH/USD,229.56,229.82,229.23,229.23,75887.34,330.57
1592708400,21/6/2020 3:00,ETH/USD,229.65,229.8,229.34,229.56,50440.68,219.76
1592704800,21/6/2020 2:00,ETH/USD,229.08,230.29,229.08,229.65,257888.06,1122.27
1592701200,21/6/2020 1:00,ETH/USD,228.94,229.29,228.92,229.08,54604.34,238.33
1592697600,21/6/2020 0:00,ETH/USD,228.89,229.38,228.65,228.94,70766.66,309.15
1592694000,20/6/2020 23:00,ETH/USD,229.21,229.38,228.56,228.89,211346.45,923.28
1592690400,20/6/2020 22:00,ETH/USD,228.02,229.57,228.02,229.21,159709.18,697.77
1592686800,20/6/2020 21:00,ETH/USD,227.81,228.26,227.69,228.02,99610.21,436.89
1592683200,20/6/2020 20:00,ETH/USD,226.85,227.83,226.85,227.81,35637.18,156.7
1592679600,20/6/2020 19:00,ETH/USD,227.61,227.78,226.8,226.85,56238.97,247.76
1592676000,20/6/2020 18:00,ETH/USD,226.95,227.73,226.76,227.61,82832.17,364.19
1592672400,20/6/2020 17:00,ETH/USD,226.65,227.25,226.56,226.95,104932.39,462.59
1592668800,20/6/2020 16:00,ETH/USD,226.51,227.31,226.15,226.65,109273.49,482.34
1592665200,20/6/2020 15:00,ETH/USD,226.75,226.97,225.66,226.51,246550.73,1089.52
1592661600,20/6/2020 14:00,ETH/USD,227.77,227.83,226.75,226.75,52203.32,229.66
1592658000,20/6/2020 13:00,ETH/USD,228.04,228.36,227.28,227.77,95105.09,417.45
1592654400,20/6/2020 12:00,ETH/USD,228.99,229.03,227.93,228.04,192420.12,841.33
1592650800,20/6/2020 11:00,ETH/USD,228.37,229.33,225,228.99,1473205.61,6487.35
1592647200,20/6/2020 10:00,ETH/USD,228.3,228.6,227.85,228.37,119205.13,522.46
1592643600,20/6/2020 9:00,ETH/USD,228.31,228.76,228.07,228.3,61882.68,270.77
1592640000,20/6/2020 8:00,ETH/USD,229.53,229.53,228.31,228.31,71469.95,312.05
1592636400,20/6/2020 7:00,ETH/USD,229.79,229.95,229.43,229.53,161501.38,703.25
1592632800,20/6/2020 6:00,ETH/USD,229.63,230.08,229.63,229.79,26449.77,115.03
1592629200,20/6/2020 5:00,ETH/USD,229.94,229.94,229.55,229.63,10852.28,47.23
1592625600,20/6/2020 4:00,ETH/USD,229.97,230.24,228.96,229.94,36587.87,159.32
1592622000,20/6/2020 3:00,ETH/USD,229.94,230.6,229.77,229.97,92617.3,402.31
1592618400,20/6/2020 2:00,ETH/USD,229.59,229.94,229.28,229.94,58821.96,256.18
1592614800,20/6/2020 1:00,ETH/USD,228.64,229.9,228.47,229.59,174912.27,761.58
1592611200,20/6/2020 0:00,ETH/USD,228.64,229.2,228.29,228.64,167496.87,731.94
1592607600,19/6/2020 23:00,ETH/USD,229.59,229.73,227.62,228.64,166908.53,729.64
1592604000,19/6/2020 22:00,ETH/USD,229.56,230.23,229.06,229.59,356679.87,1552.98
1592600400,19/6/2020 21:00,ETH/USD,229.24,229.66,228.35,229.56,151300.25,660.48
1592596800,19/6/2020 20:00,ETH/USD,228.73,229.33,227.69,229.24,175761.78,769.8
1592593200,19/6/2020 19:00,ETH/USD,228.85,229.34,228.5,228.73,82391.65,359.89
1592589600,19/6/2020 18:00,ETH/USD,228.65,229.24,227.74,228.85,339693.32,1486.88
1592586000,19/6/2020 17:00,ETH/USD,229.32,229.72,228.13,228.65,96790.75,423.29
1592582400,19/6/2020 16:00,ETH/USD,230.71,230.89,228.5,229.32,306325.62,1334.99
1592578800,19/6/2020 15:00,ETH/USD,230.26,230.85,230.17,230.71,119699.17,519.41
1592575200,19/6/2020 14:00,ETH/USD,230.95,231.25,230.2,230.26,138290.22,599.04
1592571600,19/6/2020 13:00,ETH/USD,230.79,231.21,230.22,230.95,79578.8,344.98
1592568000,19/6/2020 12:00,ETH/USD,229.71,231.8,229.71,230.79,239976.41,1038.8
1592564400,19/6/2020 11:00,ETH/USD,230.06,230.64,229.71,229.71,49986.67,217.2
1592560800,19/6/2020 10:00,ETH/USD,229.47,230.31,229.44,230.06,137739.12,599.06
1592557200,19/6/2020 9:00,ETH/USD,228.52,231.17,228.52,229.47,849104.71,3694.09
1592553600,19/6/2020 8:00,ETH/USD,227.95,228.97,227.33,228.52,134467.71,589.47
1592550000,19/6/2020 7:00,ETH/USD,228.27,228.34,227,227.95,405429.64,1779.94
1592546400,19/6/2020 6:00,ETH/USD,228.91,229.21,228.19,228.27,284461.71,1243.2
1592542800,19/6/2020 5:00,ETH/USD,227.97,228.97,227.67,228.91,155867.98,682.09
1592539200,19/6/2020 4:00,ETH/USD,227.42,228.4,226.95,227.97,71201.15,312.28
1592535600,19/6/2020 3:00,ETH/USD,226.87,227.73,226.34,227.42,243350.66,1072.22
1592532000,19/6/2020 2:00,ETH/USD,228.23,229.89,226.44,226.87,827042.19,3631.88
1592528400,19/6/2020 1:00,ETH/USD,230.28,230.28,228,228.23,182798.99,797.05
1592524800,19/6/2020 0:00,ETH/USD,231.16,231.16,229.28,230.28,179648.43,780.92
1592521200,18/6/2020 23:00,ETH/USD,230.41,232.24,230.2,231.16,198786.82,859.45
1592517600,18/6/2020 22:00,ETH/USD,229.87,230.89,229.64,230.41,113027.98,490.51
1592514000,18/6/2020 21:00,ETH/USD,228.88,230.14,227.45,229.87,338924.12,1482
1592510400,18/6/2020 20:00,ETH/USD,231.19,231.19,227.37,228.88,613185.63,2674.22
1592506800,18/6/2020 19:00,ETH/USD,231.12,231.46,229.79,231.19,318956.01,1384.47
