unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1530864000,6/7/2018 8:00,BCH/USD,711.04,730.93,710.79,722.06,17663.45,24.42
1530860400,6/7/2018 7:00,BCH/USD,711.04,712.02,697.46,711.04,92477.54,131.71
1530856800,6/7/2018 6:00,BCH/USD,722.9,722.9,710.24,711.04,130640.09,181.92
1530853200,6/7/2018 5:00,BCH/USD,726.56,726.94,721,722.9,73626.11,101.83
1530849600,6/7/2018 4:00,BCH/USD,734.99,734.99,721.67,726.56,27165.65,37.41
1530846000,6/7/2018 3:00,BCH/USD,732.82,734.99,732.82,734.99,432.47,0.5888
1530842400,6/7/2018 2:00,BCH/USD,728.51,734.61,728.51,732.82,419.95,0.572
1530838800,6/7/2018 1:00,BCH/USD,736.01,736.01,728.37,728.51,8431.6,11.5
1530835200,6/7/2018 0:00,BCH/USD,741.99,743.06,736.01,736.01,17285.86,23.43
1530831600,5/7/2018 23:00,BCH/USD,729.98,741.99,727.56,741.99,11213.25,15.28
1530828000,5/7/2018 22:00,BCH/USD,723.57,729.99,721.17,729.98,23936.68,32.85
1530824400,5/7/2018 21:00,BCH/USD,726.98,727.95,721.66,723.57,29661.74,40.96
1530820800,5/7/2018 20:00,BCH/USD,725.33,727.02,721.66,726.98,79876.97,110.25
1530817200,5/7/2018 19:00,BCH/USD,722.34,725.33,718.22,725.33,14220.85,19.71
1530813600,5/7/2018 18:00,BCH/USD,722.06,729.91,715,722.34,225686.79,313.18
1530810000,5/7/2018 17:00,BCH/USD,744.99,746.94,720.11,722.06,386540.24,525.06
1530806400,5/7/2018 16:00,BCH/USD,749,755,744.99,744.99,105726.58,141.11
1530802800,5/7/2018 15:00,BCH/USD,744.2,749,736.12,749,840819.77,1133.3
1530799200,5/7/2018 14:00,BCH/USD,749.57,749.99,738.37,744.2,755767.7,1018.06
1530795600,5/7/2018 13:00,BCH/USD,758.55,759.51,745.55,749.57,255717.18,337.68
1530792000,5/7/2018 12:00,BCH/USD,754.08,758.99,749.88,758.55,569994.26,754.32
1530788400,5/7/2018 11:00,BCH/USD,761.51,766.86,753.06,754.08,338613.41,444.54
1530784800,5/7/2018 10:00,BCH/USD,754.42,765.18,752.06,761.51,1305014.51,1728.48
1530781200,5/7/2018 9:00,BCH/USD,757.25,758.85,747.1,754.42,1828922.89,2424.66
1530777600,5/7/2018 8:00,BCH/USD,761,761,756.38,757.25,424677.18,560.66
1530774000,5/7/2018 7:00,BCH/USD,760.85,762.98,757.84,761,36294.76,47.79
1530770400,5/7/2018 6:00,BCH/USD,764.36,764.36,760.85,760.85,5740.08,7.531
1530766800,5/7/2018 5:00,BCH/USD,771.83,774.94,761.58,764.36,24706.51,31.97
1530763200,5/7/2018 4:00,BCH/USD,777.64,777.81,766.99,771.83,33382.2,43.27
1530759600,5/7/2018 3:00,BCH/USD,766.54,777.64,762.99,777.64,17580.82,22.83
1530756000,5/7/2018 2:00,BCH/USD,779.62,781.25,766.01,766.54,47546.95,61.98
1530752400,5/7/2018 1:00,BCH/USD,761.99,787.47,761.99,779.62,30943.22,39.66
1530748800,5/7/2018 0:00,BCH/USD,762.99,764.98,752,761.99,33515.89,44.25
1530745200,4/7/2018 23:00,BCH/USD,760.74,765.96,753.27,762.99,56263.25,74.14
1530741600,4/7/2018 22:00,BCH/USD,781.99,785.08,757.75,760.74,164898.85,211.98
1530738000,4/7/2018 21:00,BCH/USD,776.91,781.99,773.76,781.99,7396.72,9.499
1530734400,4/7/2018 20:00,BCH/USD,774.99,776.97,772.8,776.91,77550.12,99.96
1530730800,4/7/2018 19:00,BCH/USD,771,774.99,771,774.99,7447.93,9.625
1530727200,4/7/2018 18:00,BCH/USD,770.98,776.99,770.98,771,49387.22,63.95
1530723600,4/7/2018 17:00,BCH/USD,768.71,772.78,764.74,770.98,11688.01,15.17
1530720000,4/7/2018 16:00,BCH/USD,770.82,777.69,763.6,768.71,89499.73,116.16
1530716400,4/7/2018 15:00,BCH/USD,787.91,788.98,770.03,770.82,53563.57,68.35
1530712800,4/7/2018 14:00,BCH/USD,790.98,796,785.37,787.91,64825.91,81.98
1530709200,4/7/2018 13:00,BCH/USD,773.43,812.13,773.43,790.98,143420.45,180.79
1530705600,4/7/2018 12:00,BCH/USD,769.99,784.99,769.99,773.43,40512.31,52.02
1530702000,4/7/2018 11:00,BCH/USD,761.45,770.87,757.95,769.99,15906.6,20.78
1530698400,4/7/2018 10:00,BCH/USD,760.03,762.31,758.71,761.45,12237.63,16.09
1530694800,4/7/2018 9:00,BCH/USD,758.69,761.78,757.1,760.03,180197.59,237.47
1530691200,4/7/2018 8:00,BCH/USD,751.96,765,751.96,758.69,311883.14,408.13
1530687600,4/7/2018 7:00,BCH/USD,753.39,754.68,751.02,751.96,7548.55,10.02
